name,ynb.growth,ynb.rank,old.plate,old.well,new.plate,new.well,vol
A05_76,14.9009150810032,97,A05,G4,BYxRM_eQTL_02,A10,5
A05_40,14.9035963424349,98,A05,D4,BYxRM_eQTL_02,D4,5
A02_58,14.9120156069779,99,A02,E10,BYxRM_eQTL_02,E2,5
A07_73,14.9206417142883,100,A07,G1,BYxRM_eQTL_02,C7,5
A05_44,14.9219294196279,101,A05,D8,BYxRM_eQTL_02,B8,5
A11_74,14.9263170843278,102,A11,G2,BYxRM_eQTL_02,E5,5
A07_14,14.9430118201664,103,A07,B2,BYxRM_eQTL_02,F10,5
A04_22,14.9474897515682,104,A04,B10,BYxRM_eQTL_02,B10,5
A04_70,14.9551144081498,105,A04,F10,BYxRM_eQTL_02,F8,5
A02_24,14.9573445297005,106,A02,B12,BYxRM_eQTL_02,G6,5
A09_01,14.9630841922966,107,A09,A1,BYxRM_eQTL_02,A5,5
A03_28,14.9793953557315,108,A03,C4,BYxRM_eQTL_02,G2,5
A05_83,14.9840084482262,109,A05,G11,BYxRM_eQTL_02,F7,5
A11_03,14.9921519395166,110,A11,A3,BYxRM_eQTL_02,E7,5
A07_25,15.0032356394573,111,A07,C1,BYxRM_eQTL_02,A7,5
A08_92,15.0075583234898,112,A08,H8,BYxRM_eQTL_02,A3,5
A03_83,15.0093920274249,113,A03,G11,BYxRM_eQTL_02,H1,5
A10_19,15.0227966879007,114,A10,B7,BYxRM_eQTL_02,G10,5
A01_55,15.0352969023636,115,A01,E7,BYxRM_eQTL_02,B3,5
A07_13,15.0532992507215,116,A07,B1,BYxRM_eQTL_02,G5,5
A06_82,15.061196552761,117,A06,G10,BYxRM_eQTL_02,A12,5
A06_11,15.0625700339231,118,A06,A11,BYxRM_eQTL_02,C3,5
A11_86,15.0665940922496,119,A11,H2,BYxRM_eQTL_02,D11,5
A05_45,15.0702776927598,120,A05,D9,BYxRM_eQTL_02,F12,5
A10_74,15.071959164764,121,A10,G2,BYxRM_eQTL_02,C5,5
A01_15,15.0859456673835,122,A01,B3,BYxRM_eQTL_02,C1,5
A06_25,15.1062023797684,123,A06,C1,BYxRM_eQTL_02,E11,5
A07_70,15.1261928670986,124,A07,F10,BYxRM_eQTL_02,G9,5
A08_69,15.1293734622769,125,A08,F9,BYxRM_eQTL_02,E12,5
A01_49,15.1319086834923,126,A01,E1,BYxRM_eQTL_02,D10,5
A10_17,15.1332830575593,127,A10,B5,BYxRM_eQTL_02,G8,5
A06_43,15.1347807796716,128,A06,D7,BYxRM_eQTL_02,A4,5
A02_83,15.1377367599381,129,A02,G11,BYxRM_eQTL_02,C10,5
A09_28,15.1396288566339,130,A09,C4,BYxRM_eQTL_02,C2,5
A03_14,15.1528374341272,131,A03,B2,BYxRM_eQTL_02,H10,5
A01_09,15.1697114009743,132,A01,A9,BYxRM_eQTL_02,E1,5
A08_15,15.1703846244586,133,A08,B3,BYxRM_eQTL_02,H4,5
A01_77,15.1738267003318,134,A01,G5,BYxRM_eQTL_02,G4,5
A04_52,15.189178219915,135,A04,E4,BYxRM_eQTL_02,C9,5
A08_86,15.2007271572755,136,A08,H2,BYxRM_eQTL_02,B7,5
A04_16,15.204703578422,137,A04,B4,BYxRM_eQTL_02,H2,5
A10_14,15.2166494454015,138,A10,B2,BYxRM_eQTL_02,B4,5
A10_46,15.217011228641,139,A10,D10,BYxRM_eQTL_02,D8,5
A05_79,15.2223908289545,140,A05,G7,BYxRM_eQTL_02,D3,5
A07_39,15.22296179715,141,A07,D3,BYxRM_eQTL_02,C4,5
A09_67,15.2232379397878,142,A09,F7,BYxRM_eQTL_02,D2,5
A11_73,15.2236005919499,143,A11,G1,BYxRM_eQTL_02,F11,5
A02_73,15.243718961218,144,A02,G1,BYxRM_eQTL_02,H9,5
A03_94,15.2443140242702,145,A03,H10,BYxRM_eQTL_02,A1,5
A03_13,15.2523707833455,146,A03,B1,BYxRM_eQTL_02,A2,5
A02_18,15.252677053337,147,A02,B6,BYxRM_eQTL_02,C12,5
A08_12,15.2566692278313,148,A08,A12,BYxRM_eQTL_02,D1,5
A09_35,15.2567773672348,149,A09,C11,BYxRM_eQTL_02,F2,5
A06_63,15.258204717943,150,A06,F3,BYxRM_eQTL_02,D7,5
A09_37,15.2722005659047,151,A09,D1,BYxRM_eQTL_02,H6,5
A07_71,15.2764242636036,152,A07,F11,BYxRM_eQTL_02,C11,5
A07_43,15.2804539968276,153,A07,D7,BYxRM_eQTL_02,B5,5
A03_07,15.2862167393333,154,A03,A7,BYxRM_eQTL_02,H12,5
A11_83,15.3035837305895,155,A11,G11,BYxRM_eQTL_02,D9,5
A01_53,15.3061712167265,156,A01,E5,BYxRM_eQTL_02,E10,5
A01_42,15.309291625139,157,A01,D6,BYxRM_eQTL_02,H5,5
A08_36,15.3094511989667,158,A08,C12,BYxRM_eQTL_02,H3,5
A06_52,15.312459656905,159,A06,E4,BYxRM_eQTL_02,E8,5
A06_84,15.3136092813664,160,A06,G12,BYxRM_eQTL_02,G7,5
A03_40,15.3155885509488,161,A03,D4,BYxRM_eQTL_02,H8,5
A06_68,15.3157103345457,162,A06,F8,BYxRM_eQTL_02,G11,5
A11_38,15.3207441842952,163,A11,D2,BYxRM_eQTL_02,E9,5
A08_60,15.3238442602744,164,A08,E12,BYxRM_eQTL_02,F6,5
A03_64,15.337919588939,165,A03,F4,BYxRM_eQTL_02,C6,5
A08_01,15.3435904726661,166,A08,A1,BYxRM_eQTL_02,A9,5
A05_93,15.3479652649502,167,A05,H9,BYxRM_eQTL_02,F1,5
A01_74,15.353935956615,168,A01,G2,BYxRM_eQTL_02,H11,5
A11_25,15.3562851300063,169,A11,C1,BYxRM_eQTL_02,B11,5
A07_27,15.3605706056036,170,A07,C3,BYxRM_eQTL_02,C8,5
A09_81,15.3723094089718,171,A09,G9,BYxRM_eQTL_02,F9,5
A01_19,15.3751221472125,172,A01,B7,BYxRM_eQTL_02,G3,5
A09_14,15.3778220700648,173,A09,B2,BYxRM_eQTL_02,G1,5
A02_27,15.3822116041922,174,A02,C3,BYxRM_eQTL_02,B1,5
A02_29,15.397946837399,175,A02,C5,BYxRM_eQTL_02,B12,5
A07_11,15.4049587477379,176,A07,A11,BYxRM_eQTL_02,A6,5
A05_01,15.4151136242582,177,A05,A1,BYxRM_eQTL_02,H7,5
A01_36,15.4172147030157,178,A01,C12,BYxRM_eQTL_02,A11,5
A02_78,15.4216235028126,179,A02,G6,BYxRM_eQTL_02,A8,5
A07_92,15.4240635524514,180,A07,H8,BYxRM_eQTL_02,B2,5
A03_73,15.4244511396611,181,A03,G1,BYxRM_eQTL_02,D12,5
A11_66,15.4249482021729,182,A11,F6,BYxRM_eQTL_02,B6,5
A06_44,15.4262381264187,183,A06,D8,BYxRM_eQTL_02,B9,5
A04_15,15.4313840805806,184,A04,B3,BYxRM_eQTL_02,F3,5
A04_80,15.4340679922906,185,A04,G8,BYxRM_eQTL_02,D5,5
A11_49,15.4379422487519,186,A11,E1,BYxRM_eQTL_02,D6,5
A09_26,15.4465652425461,187,A09,C2,BYxRM_eQTL_02,F4,5
A02_94,15.4528237778015,188,A02,H10,BYxRM_eQTL_02,G12,5
