name,ynb.growth,ynb.rank,old.plate,old.well,new.plate,new.well,vol
A03_89,16.6645906200006,673,A03,H5,BYxRM_eQTL_08,A1,5
A06_86,16.6821080702602,674,A06,H2,BYxRM_eQTL_08,F7,5
A05_77,16.6822576515099,675,A05,G5,BYxRM_eQTL_08,D6,5
A09_54,16.6825791576408,676,A09,E6,BYxRM_eQTL_08,F10,5
A03_02,16.6852216859259,677,A03,A2,BYxRM_eQTL_08,E10,5
A07_36,16.6854308247164,678,A07,C12,BYxRM_eQTL_08,E7,5
A10_31,16.690844101043,679,A10,C7,BYxRM_eQTL_08,G7,5
A11_43,16.6929119743282,680,A11,D7,BYxRM_eQTL_08,G11,5
A02_17,16.6958628387305,681,A02,B5,BYxRM_eQTL_08,E3,5
A02_44,16.698079350222,682,A02,D8,BYxRM_eQTL_08,D7,5
A09_55,16.6982323772707,683,A09,E7,BYxRM_eQTL_08,B3,5
A04_91,16.6991730295092,684,A04,H7,BYxRM_eQTL_08,A4,5
A06_70,16.7004309720005,685,A06,F10,BYxRM_eQTL_08,A10,5
A03_10,16.7037909792101,686,A03,A10,BYxRM_eQTL_08,B1,5
A11_69,16.7078987629771,687,A11,F9,BYxRM_eQTL_08,A5,5
A07_07,16.7085481995437,688,A07,A7,BYxRM_eQTL_08,D1,5
A02_10,16.7092265856734,689,A02,A10,BYxRM_eQTL_08,C10,5
A02_96,16.7107495784477,690,A02,H12,BYxRM_eQTL_08,H7,5
A02_65,16.7185436365653,691,A02,F5,BYxRM_eQTL_08,G1,5
A05_69,16.7234739124678,692,A05,F9,BYxRM_eQTL_08,G4,5
A03_54,16.7298334020939,693,A03,E6,BYxRM_eQTL_08,C5,5
A04_68,16.7325123617573,694,A04,F8,BYxRM_eQTL_08,D5,5
A09_89,16.7354346442829,695,A09,H5,BYxRM_eQTL_08,C6,5
A06_29,16.736209983844,696,A06,C5,BYxRM_eQTL_08,E6,5
A07_89,16.7403486294388,697,A07,H5,BYxRM_eQTL_08,F11,5
A01_50,16.7435119531358,698,A01,E2,BYxRM_eQTL_08,G8,5
A09_78,16.7445799687673,699,A09,G6,BYxRM_eQTL_08,G10,5
A10_63,16.7448552625761,700,A10,F3,BYxRM_eQTL_08,C1,5
A10_42,16.7457648007433,701,A10,D6,BYxRM_eQTL_08,H8,5
A03_78,16.7458607374971,702,A03,G6,BYxRM_eQTL_08,A9,5
A06_60,16.7495358918903,703,A06,E12,BYxRM_eQTL_08,H6,5
A02_08,16.7564253224347,704,A02,A8,BYxRM_eQTL_08,C3,5
A02_91,16.7572098765619,705,A02,H7,BYxRM_eQTL_08,F6,5
A06_59,16.7625610610373,706,A06,E11,BYxRM_eQTL_08,C7,5
A03_70,16.7674618988405,707,A03,F10,BYxRM_eQTL_08,A6,5
A01_29,16.7727712781481,708,A01,C5,BYxRM_eQTL_08,D11,5
A11_33,16.7746435904479,709,A11,C9,BYxRM_eQTL_08,E11,5
A11_51,16.7751207513236,710,A11,E3,BYxRM_eQTL_08,C8,5
A06_55,16.7783893301335,711,A06,E7,BYxRM_eQTL_08,E9,5
A04_78,16.7788556400427,712,A04,G6,BYxRM_eQTL_08,F12,5
A04_92,16.7789091085862,713,A04,H8,BYxRM_eQTL_08,B4,5
