name,ynb.growth,ynb.rank,old.plate,old.well,new.plate,new.well,vol
A08_63,15.7506029995519,289,A08,F3,BYxRM_eQTL_04,F7,5
A11_46,15.7512758045786,290,A11,D10,BYxRM_eQTL_04,C4,5
A07_03,15.7564494360022,291,A07,A3,BYxRM_eQTL_04,A12,5
A07_22,15.7621630118238,292,A07,B10,BYxRM_eQTL_04,F11,5
A11_48,15.7640293740994,293,A11,D12,BYxRM_eQTL_04,A10,5
A01_80,15.7657389188852,294,A01,G8,BYxRM_eQTL_04,C2,5
A09_38,15.7669174803899,295,A09,D2,BYxRM_eQTL_04,H8,5
A07_91,15.7678476796889,296,A07,H7,BYxRM_eQTL_04,E2,5
A01_43,15.7679541661445,297,A01,D7,BYxRM_eQTL_04,A11,5
A09_51,15.770321117784,298,A09,E3,BYxRM_eQTL_04,D12,5
A05_13,15.772536812156,299,A05,B1,BYxRM_eQTL_04,C10,5
A07_57,15.7738136294052,300,A07,E9,BYxRM_eQTL_04,C6,5
A08_14,15.7763600716485,301,A08,B2,BYxRM_eQTL_04,B12,5
A10_54,15.7851183705745,302,A10,E6,BYxRM_eQTL_04,F8,5
A07_82,15.785232864965,303,A07,G10,BYxRM_eQTL_04,F9,5
A05_48,15.786111086244,304,A05,D12,BYxRM_eQTL_04,F4,5
A11_02,15.7917948642819,305,A11,A2,BYxRM_eQTL_04,H3,5
A05_91,15.7948006007245,306,A05,H7,BYxRM_eQTL_04,C11,5
A06_69,15.7980792886984,307,A06,F9,BYxRM_eQTL_04,G5,5
A08_58,15.7987413371737,308,A08,E10,BYxRM_eQTL_04,E3,5
A01_76,15.8014433490642,309,A01,G4,BYxRM_eQTL_04,F2,5
A06_19,15.8062847464166,310,A06,B7,BYxRM_eQTL_04,G6,5
A06_08,15.806533408964,311,A06,A8,BYxRM_eQTL_04,A6,5
A09_60,15.8077453277021,312,A09,E12,BYxRM_eQTL_04,F5,5
A01_56,15.8144890851672,313,A01,E8,BYxRM_eQTL_04,C3,5
A03_67,15.8145441323263,314,A03,F7,BYxRM_eQTL_04,H5,5
A05_64,15.8171314918216,315,A05,F4,BYxRM_eQTL_04,D9,5
A10_72,15.8177540083726,316,A10,F12,BYxRM_eQTL_04,G8,5
A07_34,15.8181177170872,317,A07,C10,BYxRM_eQTL_04,B8,5
