sourceplate,receivingplate,startpos,DNAvol,endpos
DNAsource,DNAreceiving,A1,12.0369018273404,A1
DNAsource,DNAreceiving,B1,3.43911480781156,A1
DNAsource,DNAreceiving,C1,3.08144686779915,A1
DNAsource,DNAreceiving,D1,3.47009782409815,A1
DNAsource,DNAreceiving,E1,2.89609668026236,A1
DNAsource,DNAreceiving,F1,2.17616304223104,A1
DNAsource,DNAreceiving,G1,1.66026232101248,A1
DNAsource,DNAreceiving,H1,2.17616304223104,A1
DNAsource,DNAreceiving,A2,9.39465508475352,A1
DNAsource,DNAreceiving,B2,4.93821613429352,A1
DNAsource,DNAreceiving,C2,4.69732754237676,A1
DNAsource,DNAreceiving,D2,2.48503779661222,A1
DNAsource,DNAreceiving,E2,9.87643226858703,A1
DNAsource,DNAreceiving,F2,2.56787238983263,A1
DNAsource,DNAreceiving,G2,3.93041692321321,A1
DNAsource,DNAreceiving,H2,4.47884719156854,A1
DNAsource,DNAreceiving,A3,0,A1
DNAsource,DNAreceiving,B3,3.73961998519315,A1
DNAsource,DNAreceiving,C3,1.55314862288264,A1
DNAsource,DNAreceiving,D3,2.56787238983263,A1
DNAsource,DNAreceiving,E3,5.20514673614722,A1
DNAsource,DNAreceiving,F3,2.22647895072193,A1
DNAsource,DNAreceiving,G3,2.65641971361996,A1
DNAsource,DNAreceiving,H3,1.23852366069098,A1
DNAsource,DNAreceiving,A4,6.21259449153055,A1
DNAsource,DNAreceiving,B4,2.83221219466834,A1
DNAsource,DNAreceiving,C4,1.47015594837746,A1
DNAsource,DNAreceiving,D4,4.27978731638771,A1
DNAsource,DNAreceiving,E4,4.32787481432466,A1
DNAsource,DNAreceiving,F4,3.50164416795358,A1
DNAsource,DNAreceiving,G4,3.23681393676382,A1
DNAsource,DNAreceiving,H4,2.02726767618365,A1
DNAsource,DNAreceiving,A5,6.41968097458157,A1
DNAsource,DNAreceiving,B5,2.79116564112242,A1
DNAsource,DNAreceiving,C5,3.93041692321321,A1
DNAsource,DNAreceiving,D5,1.23060977148529,A1
DNAsource,DNAreceiving,E5,1.45351267349017,A1
DNAsource,DNAreceiving,F5,1.21508157247601,A1
DNAsource,DNAreceiving,G5,0,A1
DNAsource,DNAreceiving,H5,1.26288806057342,A1
DNAsource,DNAreceiving,A6,5.20514673614722,A1
DNAsource,DNAreceiving,B6,4.4273661893666,A1
DNAsource,DNAreceiving,C6,2.63822505804722,A1
DNAsource,DNAreceiving,D6,3.97093668530819,A1
DNAsource,DNAreceiving,E6,2.27917667736624,A1
DNAsource,DNAreceiving,F6,3.5664894303231,A1
DNAsource,DNAreceiving,G6,3.70366210072014,A1
DNAsource,DNAreceiving,H6,3.43911480781156,A1
DNAsource,DNAreceiving,A7,2.58510643271741,A1
DNAsource,DNAreceiving,B7,0,A1
DNAsource,DNAreceiving,C7,1.65313673165191,A1
DNAsource,DNAreceiving,D7,2.69357243688737,A1
DNAsource,DNAreceiving,E7,1.29255321635871,A1
DNAsource,DNAreceiving,F7,1.60492024364539,A1
DNAsource,DNAreceiving,G7,13.7564592312462,A1
DNAsource,DNAreceiving,H7,4.81476073093618,A1
DNAsource,DNAreceiving,A8,1.71955740390578,A1
DNAsource,DNAreceiving,B8,0,A1
DNAsource,DNAreceiving,C8,1.71191492655509,A1
DNAsource,DNAreceiving,D8,3.08144686779915,A1
DNAsource,DNAreceiving,E8,4.64073323463728,A1
DNAsource,DNAreceiving,F8,0.895769438313708,A1
DNAsource,DNAreceiving,G8,5.27645011609444,A1
DNAsource,DNAreceiving,H8,2.77108531276902,A1
DNAsource,DNAreceiving,A9,8.55957463277543,A1
DNAsource,DNAreceiving,B9,8.19533741435945,A1
DNAsource,DNAreceiving,C9,1.55943667398743,A1
DNAsource,DNAreceiving,D9,1.06698298746508,A1
DNAsource,DNAreceiving,E9,2.65641971361996,A1
DNAsource,DNAreceiving,F9,1.29255321635871,A1
DNAsource,DNAreceiving,G9,3.03292014547161,A1
DNAsource,DNAreceiving,H9,3.10629724576528,A1
DNAsource,DNAreceiving,A10,2.55086661241652,A1
DNAsource,DNAreceiving,B10,1.58510641347693,A1
DNAsource,DNAreceiving,C10,1.5916564399789,A1
DNAsource,DNAreceiving,D10,2.07086483051018,A1
DNAsource,DNAreceiving,E10,5.83607361325597,A1
DNAsource,DNAreceiving,F10,2.55086661241652,A1
DNAsource,DNAreceiving,G10,1.68938973015305,A1
DNAsource,DNAreceiving,H10,1.31461043848087,A1
DNAsource,DNAreceiving,A11,1.93558220339143,A1
DNAsource,DNAreceiving,B11,1.62523568976749,A1
DNAsource,DNAreceiving,C11,1.36588956905991,A1
DNAsource,DNAreceiving,D11,7.70361716949789,A1
DNAsource,DNAreceiving,E11,5.34973414548464,A1
DNAsource,DNAreceiving,F11,2.05979068703152,A1
DNAsource,DNAreceiving,G11,2.30647220643649,A1
DNAsource,DNAreceiving,H11,1.42133158108817,A1
DNAsource,DNAreceiving,A12,1.93558220339143,A1
DNAsource,DNAreceiving,B12,1.89744265258569,A1
DNAsource,DNAreceiving,C12,1.45901840331399,A1
DNAsource,DNAreceiving,D12,1.93558220339143,A1
DNAsource,DNAreceiving,E12,2.67486707274232,A1
DNAsource,DNAreceiving,F12,1.54691107821243,A1
DNAsource,DNAreceiving,G12,1.97528645371741,A1
DNAsource,DNAreceiving,H12,1.07592418568406,A1
