cultureplate,mediasource,newplate,startpos,Cultvol,YNBvol,endpos
Culturesource,YNBsource,NewCulture,C11,85.8000858000858,914.199914199914,C11
Culturesource,YNBsource,NewCulture,D11,129.954515919428,870.045484080572,D11
Culturesource,YNBsource,NewCulture,E11,70.5467372134039,929.453262786596,E11
Culturesource,YNBsource,NewCulture,F11,81.5993472052224,918.400652794778,F11
Culturesource,YNBsource,NewCulture,G11,126.023944549464,873.976055450536,G11
Culturesource,YNBsource,NewCulture,H11,82.0008200082001,917.9991799918,H11
Culturesource,YNBsource,NewCulture,A12,90.4568068747173,909.543193125283,A12
Culturesource,YNBsource,NewCulture,B12,108.754758020663,891.245241979337,B12
Culturesource,YNBsource,NewCulture,C12,83.6470096194061,916.352990380594,C12
Culturesource,YNBsource,NewCulture,D12,60.3318250377074,939.668174962293,D12
Culturesource,YNBsource,NewCulture,E12,106.666666666667,893.333333333333,E12
Culturesource,YNBsource,NewCulture,F12,94.5626477541371,905.437352245863,F12
Culturesource,YNBsource,NewCulture,G12,83.6470096194061,916.352990380594,G12
Culturesource,YNBsource,NewCulture,H12,104.004160166407,895.995839833593,H12
