cultureplate,mediasource,newplate,startpos,Cultvol,YNBvol,endpos
Culturesource,YNBsource,NewCulture,G9,79.2707094728498,920.72929052715,G9
Culturesource,YNBsource,NewCulture,H9,76.3650248186331,923.634975181367,H9
Culturesource,YNBsource,NewCulture,A10,158.353127474268,841.646872525732,A10
Culturesource,YNBsource,NewCulture,B10,88.5347498893316,911.465250110668,B10
Culturesource,YNBsource,NewCulture,C10,102.092904543134,897.907095456866,C10
Culturesource,YNBsource,NewCulture,D10,259.403372243839,740.596627756161,D10
Culturesource,YNBsource,NewCulture,E10,102.722136620442,897.277863379558,E10
Culturesource,YNBsource,NewCulture,F10,102.092904543134,897.907095456866,F10
Culturesource,YNBsource,NewCulture,G10,80.8080808080808,919.191919191919,G10
Culturesource,YNBsource,NewCulture,H10,102.092904543134,897.907095456866,H10
Culturesource,YNBsource,NewCulture,A11,104.004160166407,895.995839833593,A11
Culturesource,YNBsource,NewCulture,B11,95.6480153036824,904.351984696318,B11
Culturesource,YNBsource,NewCulture,C11,82.4062628759786,917.593737124021,C11
Culturesource,YNBsource,NewCulture,D11,84.9256900212314,915.074309978769,D11
Culturesource,YNBsource,NewCulture,E11,77.0712909441233,922.928709055877,E11
Culturesource,YNBsource,NewCulture,F11,78.8954635108481,921.104536489152,F11
Culturesource,YNBsource,NewCulture,G11,74.9906261717285,925.009373828271,G11
Culturesource,YNBsource,NewCulture,H11,79.6495420151334,920.350457984867,H11
Culturesource,YNBsource,NewCulture,A12,88.5347498893316,911.465250110668,A12
Culturesource,YNBsource,NewCulture,B12,134.138162307176,865.861837692824,B12
Culturesource,YNBsource,NewCulture,C12,89.9685110211426,910.031488978857,C12
Culturesource,YNBsource,NewCulture,D12,95.1022349025202,904.89776509748,D12
Culturesource,YNBsource,NewCulture,E12,156.862745098039,843.137254901961,E12
Culturesource,YNBsource,NewCulture,F12,91.4494741655235,908.550525834477,F12
Culturesource,YNBsource,NewCulture,G12,82.4062628759786,917.593737124021,G12
Culturesource,YNBsource,NewCulture,H12,84.495141529362,915.504858470638,H12
