cultureplate,mediasource,newplate,startpos,DNAvol,H2Ovol,endpos
Culturesource,YNBsource,NewCulture,B11,74.7104968248039,925.289503175196,B11
Culturesource,YNBsource,NewCulture,C11,86.1697544161999,913.8302455838,C11
Culturesource,YNBsource,NewCulture,D11,69.4203401596668,930.579659840333,D11
Culturesource,YNBsource,NewCulture,E11,80.8734330772341,919.126566922766,E11
Culturesource,YNBsource,NewCulture,F11,74.9344323716748,925.065567628325,F11
Culturesource,YNBsource,NewCulture,G11,87.3743993010048,912.625600698995,G11
Culturesource,YNBsource,NewCulture,H11,74.1564701520208,925.843529847979,H11
Culturesource,YNBsource,NewCulture,A12,77.4893452150329,922.510654784967,A12
Culturesource,YNBsource,NewCulture,B12,74.7104968248039,925.289503175196,B12
Culturesource,YNBsource,NewCulture,C12,67.4536256323777,932.546374367622,C12
Culturesource,YNBsource,NewCulture,D12,70.8968450903935,929.103154909606,D12
Culturesource,YNBsource,NewCulture,E12,69.5168578380257,930.483142161974,E12
Culturesource,YNBsource,NewCulture,F12,83.8574423480084,916.142557651992,F12
Culturesource,YNBsource,NewCulture,G12,77.7302759424796,922.26972405752,G12
Culturesource,YNBsource,NewCulture,H12,68.5635927322592,931.436407267741,H12
