name,ynb.growth,ynb.rank,old.plate,old.well,new.plate,new.well,vol
A07_10,17.6541903957498,961,A07,A10,BYxRM_eQTL_11,A9,5
A08_57,17.693331216652,962,A08,E9,BYxRM_eQTL_11,A12,5
A10_91,17.6973807592126,963,A10,H7,BYxRM_eQTL_11,H2,5
A06_39,17.7067382797157,964,A06,D3,BYxRM_eQTL_11,D6,5
A10_25,17.7110728701747,965,A10,C1,BYxRM_eQTL_11,B5,5
A03_38,17.711886217094,966,A03,D2,BYxRM_eQTL_11,G4,5
A10_89,17.7274491396072,967,A10,H5,BYxRM_eQTL_11,C8,5
A05_08,17.73594452939,968,A05,A8,BYxRM_eQTL_11,D12,5
A09_17,17.7376434967304,969,A09,B5,BYxRM_eQTL_11,G2,5
A07_84,17.7438933754868,970,A07,G12,BYxRM_eQTL_11,D11,5
A09_95,17.7495497527485,971,A09,H11,BYxRM_eQTL_11,B7,5
A06_46,17.755731162315,972,A06,D10,BYxRM_eQTL_11,A3,5
A01_71,17.7598595890205,973,A01,F11,BYxRM_eQTL_11,F7,5
A08_91,17.7756062079709,974,A08,H7,BYxRM_eQTL_11,H3,5
A11_59,17.7791993961518,975,A11,E11,BYxRM_eQTL_11,F1,5
A10_64,17.7820028329336,976,A10,F4,BYxRM_eQTL_11,H7,5
A06_71,17.7934456865216,977,A06,F11,BYxRM_eQTL_11,E5,5
A07_53,17.7941694250563,978,A07,E5,BYxRM_eQTL_11,C4,5
A02_64,17.7990299102674,979,A02,F4,BYxRM_eQTL_11,A11,5
A11_30,17.8147798379734,980,A11,C6,BYxRM_eQTL_11,C5,5
A01_05,17.815398789434,981,A01,A5,BYxRM_eQTL_11,F10,5
A05_37,17.8177726628762,982,A05,D1,BYxRM_eQTL_11,C10,5
A08_75,17.8480944737116,983,A08,G3,BYxRM_eQTL_11,B1,5
A10_65,17.8513696627518,984,A10,F5,BYxRM_eQTL_11,D1,5
A02_22,17.8634542974961,985,A02,B10,BYxRM_eQTL_11,G5,5
A08_38,17.8798510982077,986,A08,D2,BYxRM_eQTL_11,D3,5
A08_65,17.880349097287,987,A08,F5,BYxRM_eQTL_11,D5,5
A06_87,17.8822652282973,988,A06,H3,BYxRM_eQTL_11,G3,5
A05_57,17.8859844293296,989,A05,E9,BYxRM_eQTL_11,A5,5
A03_35,17.9044570292139,990,A03,C11,BYxRM_eQTL_11,H10,5
A04_89,17.9087984527092,991,A04,H5,BYxRM_eQTL_11,C11,5
A10_96,17.9123408648598,992,A10,H12,BYxRM_eQTL_11,G6,5
A02_35,17.9179588476899,993,A02,C11,BYxRM_eQTL_11,C9,5
A11_96,17.920406915296,994,A11,H12,BYxRM_eQTL_11,E2,5
A09_72,17.9396364805173,995,A09,F12,BYxRM_eQTL_11,A1,5
A11_20,17.9436960560792,996,A11,B8,BYxRM_eQTL_11,D4,5
A09_70,17.9463032618242,997,A09,F10,BYxRM_eQTL_11,B2,5
A07_20,17.9617500859176,998,A07,B8,BYxRM_eQTL_11,D7,5
A04_66,17.96330102111,999,A04,F6,BYxRM_eQTL_11,A2,5
A01_58,17.9665273097043,1000,A01,E10,BYxRM_eQTL_11,G7,5
A06_92,17.9775365203683,1001,A06,H8,BYxRM_eQTL_11,B9,5
A11_77,17.9846302776434,1002,A11,G5,BYxRM_eQTL_11,H11,5
A01_79,17.9910058973148,1003,A01,G7,BYxRM_eQTL_11,D9,5
A08_11,18.0013626087653,1004,A08,A11,BYxRM_eQTL_11,A6,5
A07_45,18.0040581953122,1005,A07,D9,BYxRM_eQTL_11,E4,5
A06_27,18.0253570134983,1006,A06,C3,BYxRM_eQTL_11,G10,5
A05_50,18.0325649405799,1007,A05,E2,BYxRM_eQTL_11,E6,5
A02_40,18.0370369816608,1008,A02,D4,BYxRM_eQTL_11,D10,5
A05_85,18.0488895400065,1009,A05,H1,BYxRM_eQTL_11,G9,5
A07_33,18.0497852075262,1010,A07,C9,BYxRM_eQTL_11,G12,5
A07_12,18.0602899725405,1011,A07,A12,BYxRM_eQTL_11,E1,5
A01_02,18.0612231644284,1012,A01,A2,BYxRM_eQTL_11,F3,5
A06_72,18.0635628682769,1013,A06,F12,BYxRM_eQTL_11,E9,5
A07_02,18.0754334449644,1014,A07,A2,BYxRM_eQTL_11,C1,5
A11_68,18.0932934051843,1015,A11,F8,BYxRM_eQTL_11,F8,5
A10_10,18.0995668175862,1016,A10,A10,BYxRM_eQTL_11,H5,5
A08_03,18.1093420590244,1017,A08,A3,BYxRM_eQTL_11,H4,5
A07_86,18.1119966535965,1018,A07,H2,BYxRM_eQTL_11,F11,5
A09_10,18.1122416116908,1019,A09,A10,BYxRM_eQTL_11,H8,5
A04_46,18.1162663829346,1020,A04,D10,BYxRM_eQTL_11,B6,5
A07_41,18.1384859876429,1021,A07,D5,BYxRM_eQTL_11,E8,5
A03_37,18.139859164221,1022,A03,D1,BYxRM_eQTL_11,F12,5
A09_09,18.1449935320742,1023,A09,A9,BYxRM_eQTL_11,A8,5
A07_29,18.1508160869267,1024,A07,C5,BYxRM_eQTL_11,C7,5
A01_03,18.1717815684198,1025,A01,A3,BYxRM_eQTL_11,C6,5
A07_61,18.1723234127259,1026,A07,F1,BYxRM_eQTL_11,F6,5
A04_27,18.1768828016227,1027,A04,C3,BYxRM_eQTL_11,H12,5
A08_24,18.1913617396469,1028,A08,B12,BYxRM_eQTL_11,E11,5
A11_65,18.2308348057425,1029,A11,F5,BYxRM_eQTL_11,B10,5
A11_01,18.2406620625376,1030,A11,A1,BYxRM_eQTL_11,D2,5
A07_06,18.2438779554683,1031,A07,A6,BYxRM_eQTL_11,E7,5
A11_35,18.253877669579,1032,A11,C11,BYxRM_eQTL_11,A4,5
A08_31,18.2616457023906,1033,A08,C7,BYxRM_eQTL_11,D8,5
A07_83,18.2625904052442,1034,A07,G11,BYxRM_eQTL_11,B8,5
A03_19,18.2849988723475,1035,A03,B7,BYxRM_eQTL_11,H9,5
A10_28,18.3039176739225,1036,A10,C4,BYxRM_eQTL_11,B11,5
A08_85,18.3193487263023,1037,A08,H1,BYxRM_eQTL_11,B3,5
A02_39,18.3283073004461,1038,A02,D3,BYxRM_eQTL_11,C3,5
A01_51,18.3968594896519,1039,A01,E3,BYxRM_eQTL_11,H1,5
A08_18,18.439157910536,1040,A08,B6,BYxRM_eQTL_11,F5,5
A08_72,18.4743473984431,1041,A08,F12,BYxRM_eQTL_11,E10,5
A02_75,18.530332670579,1042,A02,G3,BYxRM_eQTL_11,C12,5
A03_27,18.5455274905019,1043,A03,C3,BYxRM_eQTL_11,C2,5
A03_65,18.5674824190221,1044,A03,F5,BYxRM_eQTL_11,A7,5
A07_30,18.5775043816137,1045,A07,C6,BYxRM_eQTL_11,G1,5
A07_51,18.6008125562621,1046,A07,E3,BYxRM_eQTL_11,E3,5
A01_95,18.6035067843389,1047,A01,H11,BYxRM_eQTL_11,E12,5
A09_07,18.6741724897621,1048,A09,A7,BYxRM_eQTL_11,B4,5
A07_37,18.7789048136545,1049,A07,D1,BYxRM_eQTL_11,A10,5
A01_33,18.7921732890636,1050,A01,C9,BYxRM_eQTL_11,F2,5
A01_12,18.903022737641,1051,A01,A12,BYxRM_eQTL_11,G8,5
A11_57,18.9454281486468,1052,A11,E9,BYxRM_eQTL_11,B12,5
A06_35,19.0480932665611,1053,A06,C11,BYxRM_eQTL_11,G11,5
A11_62,19.0621379713533,1054,A11,F2,BYxRM_eQTL_11,F9,5
A04_14,19.2944526926636,1055,A04,B2,BYxRM_eQTL_11,F4,5
A06_74,19.7062250966555,1056,A06,G2,BYxRM_eQTL_11,H6,5
