name,old.plate,old.well,int.plate,int.well,new.plate,new.well,vol
A10_13,A10,B1,BYxRM_eQTL_01,A12,BYxRM_eQTL_12,C8,5
A11_09,A11,A9,BYxRM_eQTL_01,E1,BYxRM_eQTL_12,G4,5
A09_03,A09,A3,BYxRM_eQTL_01,G7,BYxRM_eQTL_12,D7,5
A04_48,A04,D12,BYxRM_eQTL_01,A7,BYxRM_eQTL_12,F4,5
A02_69,A02,F9,BYxRM_eQTL_01,A9,BYxRM_eQTL_12,E12,5
A09_91,A09,H7,BYxRM_eQTL_01,C7,BYxRM_eQTL_12,G8,5
A09_74,A09,G2,BYxRM_eQTL_01,E8,BYxRM_eQTL_12,G11,5
A07_96,A07,H12,BYxRM_eQTL_01,D9,BYxRM_eQTL_12,C7,5
A03_88,A03,H4,BYxRM_eQTL_01,A2,BYxRM_eQTL_12,C2,5
A09_08,A09,A8,BYxRM_eQTL_01,H12,BYxRM_eQTL_12,D3,5
A10_70,A10,F10,BYxRM_eQTL_01,F1,BYxRM_eQTL_12,G2,5
A01_25,A01,C1,BYxRM_eQTL_01,H10,BYxRM_eQTL_12,B2,5
A07_24,A07,B12,BYxRM_eQTL_01,H3,BYxRM_eQTL_12,F10,5
A06_23,A06,B11,BYxRM_eQTL_01,H11,BYxRM_eQTL_12,C1,5
A03_26,A03,C2,BYxRM_eQTL_01,H6,BYxRM_eQTL_12,H9,5
A11_74,A11,G2,BYxRM_eQTL_02,E5,BYxRM_eQTL_12,H11,5
A02_18,A02,B6,BYxRM_eQTL_02,C12,BYxRM_eQTL_12,F5,5
A09_01,A09,A1,BYxRM_eQTL_02,A5,BYxRM_eQTL_12,D9,5
A01_09,A01,A9,BYxRM_eQTL_02,E1,BYxRM_eQTL_12,A6,5
A02_94,A02,H10,BYxRM_eQTL_02,G12,BYxRM_eQTL_12,D4,5
A11_83,A11,G11,BYxRM_eQTL_02,D9,BYxRM_eQTL_12,F3,5
A05_58,A05,E10,BYxRM_eQTL_04,A1,BYxRM_eQTL_12,D5,5
A09_34,A09,C10,BYxRM_eQTL_04,A4,BYxRM_eQTL_12,D8,5
A07_05,A07,A5,BYxRM_eQTL_04,A2,BYxRM_eQTL_12,A5,5
A08_14,A08,B2,BYxRM_eQTL_04,B12,BYxRM_eQTL_12,E1,5
A09_32,A09,C8,BYxRM_eQTL_04,A8,BYxRM_eQTL_12,H2,5
A03_87,A03,H3,BYxRM_eQTL_04,A3,BYxRM_eQTL_12,E11,5
A08_80,A08,G8,BYxRM_eQTL_04,E4,BYxRM_eQTL_12,D11,5
A02_90,A02,H6,BYxRM_eQTL_04,A7,BYxRM_eQTL_12,E5,5
A05_70,A05,F10,BYxRM_eQTL_04,H1,BYxRM_eQTL_12,C11,5
A05_31,A05,C7,BYxRM_eQTL_04,G1,BYxRM_eQTL_12,G7,5
A11_48,A11,D12,BYxRM_eQTL_04,A10,BYxRM_eQTL_12,D6,5
A01_80,A01,G8,BYxRM_eQTL_04,C2,BYxRM_eQTL_12,E4,5
A10_95,A10,H11,BYxRM_eQTL_04,E5,BYxRM_eQTL_12,F7,5
A09_60,A09,E12,BYxRM_eQTL_04,F5,BYxRM_eQTL_12,E8,5
A05_73,A05,G1,BYxRM_eQTL_04,B9,BYxRM_eQTL_12,G6,5
A02_60,A02,E12,BYxRM_eQTL_04,F3,BYxRM_eQTL_12,F11,5
A07_57,A07,E9,BYxRM_eQTL_04,C6,BYxRM_eQTL_12,H6,5
A05_13,A05,B1,BYxRM_eQTL_04,C10,BYxRM_eQTL_12,D1,5
A09_24,A09,B12,BYxRM_eQTL_04,E7,BYxRM_eQTL_12,G10,5
A02_49,A02,E1,BYxRM_eQTL_04,D4,BYxRM_eQTL_12,A4,5
A09_57,A09,E9,BYxRM_eQTL_04,F12,BYxRM_eQTL_12,B12,5
A05_64,A05,F4,BYxRM_eQTL_04,D9,BYxRM_eQTL_12,E6,5
A03_12,A03,A12,BYxRM_eQTL_05,C2,BYxRM_eQTL_12,D10,5
