name,old.plate,old.well,int.plate,int.well,new.plate,new.well,vol
A11_87,A11,H3,BYxRM_eQTL_05,A6,BYxRM_eQTL_12,A8,5
A08_46,A08,D10,BYxRM_eQTL_05,F2,BYxRM_eQTL_12,E9,5
A02_62,A02,F2,BYxRM_eQTL_05,A4,BYxRM_eQTL_12,A7,5
A07_31,A07,C7,BYxRM_eQTL_05,G3,BYxRM_eQTL_12,C5,5
A09_05,A09,A5,BYxRM_eQTL_05,A1,BYxRM_eQTL_12,G12,5
A03_62,A03,F2,BYxRM_eQTL_05,H6,BYxRM_eQTL_12,C9,5
A10_09,A10,A9,BYxRM_eQTL_05,B6,BYxRM_eQTL_12,E2,5
A10_39,A10,D3,BYxRM_eQTL_05,B4,BYxRM_eQTL_12,A11,5
A09_43,A09,D7,BYxRM_eQTL_05,F1,BYxRM_eQTL_12,A12,5
A11_10,A11,A10,BYxRM_eQTL_05,B12,BYxRM_eQTL_12,A2,5
A01_82,A01,G10,BYxRM_eQTL_05,A5,BYxRM_eQTL_12,F2,5
A09_83,A09,G11,BYxRM_eQTL_05,D3,BYxRM_eQTL_12,C12,5
A03_96,A03,H12,BYxRM_eQTL_05,E12,BYxRM_eQTL_12,F6,5
A01_06,A01,A6,BYxRM_eQTL_05,G2,BYxRM_eQTL_12,H5,5
A01_85,A01,H1,BYxRM_eQTL_05,C3,BYxRM_eQTL_12,G1,5
A07_40,A07,D4,BYxRM_eQTL_05,G7,BYxRM_eQTL_12,H3,5
A09_73,A09,G1,BYxRM_eQTL_05,C5,BYxRM_eQTL_12,G9,5
A11_06,A11,A6,BYxRM_eQTL_05,B11,BYxRM_eQTL_12,D2,5
A10_07,A10,A7,BYxRM_eQTL_05,E2,BYxRM_eQTL_12,F1,5
A02_59,A02,E11,BYxRM_eQTL_05,C10,BYxRM_eQTL_12,F8,5
A11_84,A11,G12,BYxRM_eQTL_05,D2,BYxRM_eQTL_12,C10,5
A10_47,A10,D11,BYxRM_eQTL_05,F10,BYxRM_eQTL_12,H4,5
A11_52,A11,E4,BYxRM_eQTL_06,F1,BYxRM_eQTL_12,B5,5
A07_46,A07,D10,BYxRM_eQTL_06,A1,BYxRM_eQTL_12,D12,5
A02_26,A02,C2,BYxRM_eQTL_06,E1,BYxRM_eQTL_12,E10,5
A10_51,A10,E3,BYxRM_eQTL_06,B1,BYxRM_eQTL_12,E7,5
A09_80,A09,G8,BYxRM_eQTL_06,H1,BYxRM_eQTL_12,F9,5
A09_40,A09,D4,BYxRM_eQTL_06,A6,BYxRM_eQTL_12,H1,5
A02_71,A02,F11,BYxRM_eQTL_06,D6,BYxRM_eQTL_12,E3,5
A09_36,A09,C12,BYxRM_eQTL_06,D3,BYxRM_eQTL_12,B4,5
A01_41,A01,D5,BYxRM_eQTL_06,F7,BYxRM_eQTL_12,H12,5
A11_72,A11,F12,BYxRM_eQTL_06,D9,BYxRM_eQTL_12,F12,5
A06_79,A06,G7,BYxRM_eQTL_06,D12,BYxRM_eQTL_12,B7,5
A01_17,A01,B5,BYxRM_eQTL_06,D4,BYxRM_eQTL_12,B1,5
A07_50,A07,E2,BYxRM_eQTL_06,A8,BYxRM_eQTL_12,C6,5
A10_69,A10,F9,BYxRM_eQTL_06,H6,BYxRM_eQTL_12,G5,5
A07_26,A07,C2,BYxRM_eQTL_06,B7,BYxRM_eQTL_12,B11,5
A04_04,A04,A4,BYxRM_eQTL_06,B3,BYxRM_eQTL_12,H7,5
A09_65,A09,F5,BYxRM_eQTL_06,F5,BYxRM_eQTL_12,C4,5
A11_88,A11,H4,BYxRM_eQTL_06,E4,BYxRM_eQTL_12,H10,5
A07_90,A07,H6,BYxRM_eQTL_06,D2,BYxRM_eQTL_12,B3,5
A08_16,A08,B4,BYxRM_eQTL_06,B2,BYxRM_eQTL_12,C3,5
1879,BY_RM,A1,-,-,BYxRM_eQTL_12,B9,5
1879,BY_RM,B1,-,-,BYxRM_eQTL_12,B8,5
1879,BY_RM,C1,-,-,BYxRM_eQTL_12,A3,5
1879,BY_RM,D1,-,-,BYxRM_eQTL_12,A9,5
1879,BY_RM,E1,-,-,BYxRM_eQTL_12,A10,5
1950,BY_RM,A3,-,-,BYxRM_eQTL_12,B6,5
1950,BY_RM,B3,-,-,BYxRM_eQTL_12,B10,5
1950,BY_RM,C3,-,-,BYxRM_eQTL_12,G3,5
1950,BY_RM,D3,-,-,BYxRM_eQTL_12,A1,5
1950,BY_RM,E3,-,-,BYxRM_eQTL_12,H8,5
