name,ynb.growth,ynb.rank,old.plate,old.well,new.plate,new.well,vol
A10_94,16.9168475867641,769,A10,H10,BYxRM_eQTL_09,E6,5
A10_68,16.923552503854,770,A10,F8,BYxRM_eQTL_09,B9,5
A06_90,16.9267913236094,771,A06,H6,BYxRM_eQTL_09,H11,5
A05_33,16.9345655250522,772,A05,C9,BYxRM_eQTL_09,A9,5
A07_87,16.9347793865749,773,A07,H3,BYxRM_eQTL_09,D7,5
A07_09,16.9362402548225,774,A07,A9,BYxRM_eQTL_09,D8,5
A09_53,16.9375348154746,775,A09,E5,BYxRM_eQTL_09,G5,5
A05_67,16.9426668393996,776,A05,F7,BYxRM_eQTL_09,H10,5
A03_34,16.9533769592927,777,A03,C10,BYxRM_eQTL_09,A5,5
A08_47,16.9555110582089,778,A08,D11,BYxRM_eQTL_09,D11,5
A07_21,16.9723150901088,779,A07,B9,BYxRM_eQTL_09,F10,5
A02_41,16.9728753641311,780,A02,D5,BYxRM_eQTL_09,F6,5
A04_29,16.9749036949221,781,A04,C5,BYxRM_eQTL_09,F3,5
A02_51,16.9775755389729,782,A02,E3,BYxRM_eQTL_09,F5,5
A10_87,16.9793482875308,783,A10,H3,BYxRM_eQTL_09,H8,5
A02_95,16.9809639921626,784,A02,H11,BYxRM_eQTL_09,E2,5
A07_42,16.9824264508413,785,A07,D6,BYxRM_eQTL_09,B3,5
A02_38,16.9828987777754,786,A02,D2,BYxRM_eQTL_09,A6,5
A03_85,16.9907209132787,787,A03,H1,BYxRM_eQTL_09,C5,5
A01_69,16.9923800847337,788,A01,F9,BYxRM_eQTL_09,B8,5
A05_46,16.9943809149656,789,A05,D10,BYxRM_eQTL_09,G12,5
A09_27,16.9980465417456,790,A09,C3,BYxRM_eQTL_09,B11,5
A11_37,16.9988337482367,791,A11,D1,BYxRM_eQTL_09,E3,5
A02_06,17.0068096068569,792,A02,A6,BYxRM_eQTL_09,D2,5
A04_90,17.0076589305853,793,A04,H6,BYxRM_eQTL_09,H9,5
A01_67,17.0094780835605,794,A01,F7,BYxRM_eQTL_09,D10,5
A04_26,17.0108462767287,795,A04,C2,BYxRM_eQTL_09,A7,5
A10_04,17.0110073176127,796,A10,A4,BYxRM_eQTL_09,A3,5
A09_46,17.0137321049657,797,A09,D10,BYxRM_eQTL_09,B4,5
A05_63,17.0183354516895,798,A05,F3,BYxRM_eQTL_09,A10,5
A03_33,17.0274483430769,799,A03,C9,BYxRM_eQTL_09,D9,5
A11_17,17.0294602618983,800,A11,B5,BYxRM_eQTL_09,D4,5
A06_14,17.0358304774336,801,A06,B2,BYxRM_eQTL_09,B6,5
A08_45,17.0395737784266,802,A08,D9,BYxRM_eQTL_09,F2,5
A06_38,17.0437563154695,803,A06,D2,BYxRM_eQTL_09,C8,5
A09_04,17.044121902576,804,A09,A4,BYxRM_eQTL_09,F8,5
A11_07,17.045532139906,805,A11,A7,BYxRM_eQTL_09,A1,5
A05_39,17.0487730609436,806,A05,D3,BYxRM_eQTL_09,G4,5
A10_49,17.050634452163,807,A10,E1,BYxRM_eQTL_09,E8,5
A02_07,17.0540371129425,808,A02,A7,BYxRM_eQTL_09,D6,5
A03_81,17.0637558662688,809,A03,G9,BYxRM_eQTL_09,B1,5
A04_93,17.0644459026006,810,A04,H9,BYxRM_eQTL_09,A12,5
A04_82,17.0670789290364,811,A04,G10,BYxRM_eQTL_09,D3,5
A04_59,17.0676476670228,812,A04,E11,BYxRM_eQTL_09,C2,5
