name,ynb.growth,ynb.rank,old.plate,old.well,new.plate,new.well,vol
A11_04,17.2477547781273,865,A11,A4,BYxRM_eQTL_10,C9,5
A03_49,17.2480541691065,866,A03,E1,BYxRM_eQTL_10,G5,5
A03_21,17.2508140879116,867,A03,B9,BYxRM_eQTL_10,H1,5
A05_25,17.2569681085942,868,A05,C1,BYxRM_eQTL_10,F5,5
A03_46,17.2579282015807,869,A03,D10,BYxRM_eQTL_10,C5,5
A07_65,17.2587192645198,870,A07,F5,BYxRM_eQTL_10,B8,5
A05_61,17.2587317962875,871,A05,F1,BYxRM_eQTL_10,C12,5
A08_50,17.2731593006986,872,A08,E2,BYxRM_eQTL_10,C10,5
A02_21,17.2856760593865,873,A02,B9,BYxRM_eQTL_10,D4,5
A08_20,17.2859380031507,874,A08,B8,BYxRM_eQTL_10,A9,5
A06_16,17.2872763574124,875,A06,B4,BYxRM_eQTL_10,F4,5
A09_31,17.2916079336704,876,A09,C7,BYxRM_eQTL_10,F9,5
A09_68,17.2975815255896,877,A09,F8,BYxRM_eQTL_10,D10,5
A08_55,17.3002752433167,878,A08,E7,BYxRM_eQTL_10,B11,5
A01_28,17.3037138574218,879,A01,C4,BYxRM_eQTL_10,B7,5
A04_02,17.308094256301,880,A04,A2,BYxRM_eQTL_10,D3,5
A01_60,17.3216180391467,881,A01,E12,BYxRM_eQTL_10,G4,5
A02_85,17.3288082404383,882,A02,H1,BYxRM_eQTL_10,D9,5
A03_84,17.3336317319102,883,A03,G12,BYxRM_eQTL_10,E10,5
A05_11,17.3339786375397,884,A05,A11,BYxRM_eQTL_10,E5,5
A04_63,17.3375612579703,885,A04,F3,BYxRM_eQTL_10,B2,5
A03_71,17.3382951727758,886,A03,F11,BYxRM_eQTL_10,B6,5
A09_48,17.3395242253493,887,A09,D12,BYxRM_eQTL_10,D1,5
A06_01,17.3501736348656,888,A06,A1,BYxRM_eQTL_10,C2,5
A07_15,17.350492904975,889,A07,B3,BYxRM_eQTL_10,C3,5
A06_78,17.3517176499737,890,A06,G6,BYxRM_eQTL_10,G7,5
A04_49,17.3533532270321,891,A04,E1,BYxRM_eQTL_10,G9,5
A11_94,17.3558568385737,892,A11,H10,BYxRM_eQTL_10,B9,5
A04_83,17.3569495771924,893,A04,G11,BYxRM_eQTL_10,F2,5
A01_54,17.361766354007,894,A01,E6,BYxRM_eQTL_10,G12,5
