name,ynb.growth,ynb.rank,old.plate,old.well,new.plate,new.well,vol
A01_38,15.474222739161,193,A01,D2,BYxRM_eQTL_03,B10,5
A03_25,15.4777789866982,194,A03,C1,BYxRM_eQTL_03,F7,5
A03_74,15.4814561485972,195,A03,G2,BYxRM_eQTL_03,E4,5
A05_51,15.4838989145854,196,A05,E3,BYxRM_eQTL_03,A6,5
A01_84,15.4879687022208,197,A01,G12,BYxRM_eQTL_03,B12,5
A05_75,15.4908369203916,198,A05,G3,BYxRM_eQTL_03,F5,5
A01_57,15.5056262340198,199,A01,E9,BYxRM_eQTL_03,H7,5
A02_04,15.5080975080756,200,A02,A4,BYxRM_eQTL_03,E1,5
A04_20,15.5116323521873,201,A04,B8,BYxRM_eQTL_03,E7,5
A02_67,15.5135983438012,202,A02,F7,BYxRM_eQTL_03,B1,5
A02_46,15.5173881848567,203,A02,D10,BYxRM_eQTL_03,G4,5
A02_13,15.5281473483113,204,A02,B1,BYxRM_eQTL_03,G6,5
A04_31,15.5292065095825,205,A04,C7,BYxRM_eQTL_03,A5,5
A05_15,15.5301409309653,206,A05,B3,BYxRM_eQTL_03,C12,5
A10_73,15.5308560997624,207,A10,G1,BYxRM_eQTL_03,F10,5
A09_94,15.5320569166183,208,A09,H10,BYxRM_eQTL_03,A12,5
A02_25,15.533135282439,209,A02,C1,BYxRM_eQTL_03,H6,5
A03_45,15.5352880782227,210,A03,D9,BYxRM_eQTL_03,A3,5
A02_19,15.5358326894141,211,A02,B7,BYxRM_eQTL_03,G3,5
A11_13,15.5362711790945,212,A11,B1,BYxRM_eQTL_03,D2,5
A10_34,15.5367319402549,213,A10,C10,BYxRM_eQTL_03,E5,5
A07_52,15.5395800847874,214,A07,E4,BYxRM_eQTL_03,F3,5
A02_76,15.5427557647857,215,A02,G4,BYxRM_eQTL_03,G7,5
A06_07,15.54286697683,216,A06,A7,BYxRM_eQTL_03,C1,5
A08_44,15.5493798476143,217,A08,D8,BYxRM_eQTL_03,C4,5
A01_31,15.55181365682,218,A01,C7,BYxRM_eQTL_03,C5,5
A07_44,15.5527197175942,219,A07,D8,BYxRM_eQTL_03,D1,5
A07_85,15.5588281342431,220,A07,H1,BYxRM_eQTL_03,B11,5
A10_83,15.5672347619618,221,A10,G11,BYxRM_eQTL_03,H9,5
A01_52,15.5705193196755,222,A01,E4,BYxRM_eQTL_03,D8,5
A03_11,15.5724792661082,223,A03,A11,BYxRM_eQTL_03,G10,5
A05_42,15.5757032300728,224,A05,D6,BYxRM_eQTL_03,C7,5
A03_36,15.5821237004702,225,A03,C12,BYxRM_eQTL_03,H2,5
A01_04,15.5834877927164,226,A01,A4,BYxRM_eQTL_03,G2,5
A06_12,15.5842169107373,227,A06,A12,BYxRM_eQTL_03,F2,5
A04_05,15.5851666540502,228,A04,A5,BYxRM_eQTL_03,G9,5
A08_33,15.5869064921217,229,A08,C9,BYxRM_eQTL_03,B8,5
A08_41,15.5898219808699,230,A08,D5,BYxRM_eQTL_03,G5,5
A03_75,15.5934773363754,231,A03,G3,BYxRM_eQTL_03,B3,5
A02_61,15.5986605503154,232,A02,F1,BYxRM_eQTL_03,B6,5
A08_25,15.5987648038466,233,A08,C1,BYxRM_eQTL_03,E8,5
A04_86,15.5993216519759,234,A04,H2,BYxRM_eQTL_03,A1,5
A04_74,15.6006252123496,235,A04,G2,BYxRM_eQTL_03,F11,5
A11_42,15.6059311718487,236,A11,D6,BYxRM_eQTL_03,D5,5
A08_83,15.6083174767689,237,A08,G11,BYxRM_eQTL_03,D12,5
A11_63,15.6083689536936,238,A11,F3,BYxRM_eQTL_03,A8,5
A10_20,15.6118808523506,239,A10,B8,BYxRM_eQTL_03,B7,5
A05_22,15.6144531918264,240,A05,B10,BYxRM_eQTL_03,C2,5
A03_24,15.6150073866422,241,A03,B12,BYxRM_eQTL_03,D4,5
A04_73,15.6181274221929,242,A04,G1,BYxRM_eQTL_03,G1,5
A02_54,15.6209986227591,243,A02,E6,BYxRM_eQTL_03,B9,5
A05_27,15.6225924507014,244,A05,C3,BYxRM_eQTL_03,A2,5
